學校代碼,學校
101,國立台灣科技大學
104,國立台北科技大學
107,國立虎尾科技大學
110,國立勤益科技大學
113,國立台中科技大學
203,昆山科技大學
206,龍華科技大學
209,弘光科技大學
212,萬能科技大學
215,高苑科技大學
218,嶺東科技大學
221,台南應用科技大學
224,景文科技大學
227,德明財經科技大學
230,僑光科技大學
233,吳鳳科技大學
236,修平科技大學
239,台北城市科技大學
303,國立台北商業技術學院
404,慈濟技術學院
408,致理技術學院
412,德霖技術學院
415,黎明技術學院
418,崇右技術學院
421,高鳳數位內容學院
102,國立雲林科技大學
105,國立高雄第一科技大學
108,國立高雄海洋科技大學
111,國立台北護理健康大學
201,朝陽科技大學
204,嘉南藥理科技大學
207,輔英科技大學
210,健行科技大學
213,建國科技大學
216,大仁科技大學
219,中國科技大學
222,遠東科技大學
225,中華醫事科技大學
228,南開科技大學
231,育達商業科技大學
234,環球科技大學
237,長庚科技大學
240,醒吾科技大學
402,文藻外語學院
405,永達技術學院
410,亞東技術學院
413,南榮技術學院
416,東方設計學院
419,大同技術學院
422,華夏技術學院
103,國立屏東科技大學
106,國立高雄應用科技大學
109,國立澎湖科技大學
112,國立高雄餐旅大學
202,南台科技大學
205,樹德科技大學
208,明新科技大學
211,正修科技大學
214,明志科技大學
217,聖約翰科技大學
220,中台科技大學
223,元培科技大學
226,東南科技大學
229,中華科技大學
232,美和科技大學
235,中州科技大學
238,大華科技大學
301,國立屏東商業技術學院
403,大漢技術學院
406,和春技術學院
411,桃園創新技術學院
414,蘭陽技術學院
417,經國管理暨健康學院
420,亞太創意技術學院
423,台灣觀光學院
