校系代碼,系名
001012,中國文學系
001022,外國語文學系
001032,歷史學系
001042,哲學系
001052,人類學系
001062,圖書資訊學系
001072,日本語文學系
001082,戲劇學系
001092,數學系
001102,物理學系
001112,化學系
001122,地質科學系
001132,心理學系
001142,地理環境資源學系
001152,大氣科學系
001162,政治學系政治理論組
001172,政治學系國際關係組
001182,政治學系公共行政組
001192,經濟學系
001202,社會學系
001212,社會工作學系
001222,醫學系
001232,牙醫學系
001242,藥學系
001252,醫學檢驗暨生物技術學系
001262,護理學系
001272,物理治療學系
001282,職能治療學系
001292,土木工程學系
001302,機械工程學系
001312,化學工程學系
001322,工程科學及海洋工程學系
001332,材料科學與工程學系
001342,農藝學系
001352,生物環境系統工程學系
001362,農業化學系
001372,森林環境暨資源學系
001382,動物科學技術學系
001392,農業經濟學系
001402,園藝暨景觀學系
001412,獸醫學系
001422,生物產業傳播暨發展學系
001432,生物產業機電工程學系
001442,昆蟲學系
001452,植物病理與微生物學系
001462,工商管理學系企業管理組
001472,工商管理學系科技管理組
001482,會計學系
001492,財務金融學系
001502,國際企業學系
001512,資訊管理學系
001522,公共衛生學系
001532,電機工程學系
001542,資訊工程學系
001552,法律學系法學組
001562,法律學系司法組
001572,法律學系財經法學組
001582,生命科學系
001592,生化科技學系
001602,護理學系(公費生)
001612,醫學系(公費生)
001622,醫學系(繁星第八類)
004012,中國文學系
004022,外國語文學系
004032,歷史學系
004042,台灣文學系
004052,數學系
004062,物理學系物理組
004072,物理學系光電科學組
004082,化學系
004092,地球科學系
004102,光電科學與工程學系
004112,機械工程學系
004122,化學工程學系
004132,材料科學及工程學系
004142,資源工程學系
004152,土木工程學系
004162,水利及海洋工程學系
004172,工程科學系
004182,系統及船舶機電工程學系
004192,航空太空工程學系
004202,環境工程學系
004212,測量及空間資訊學系
004222,生物醫學工程學系
004232,能源國際學士學位學程
004242,工業與資訊管理學系
004252,交通管理科學系
004262,企業管理學系
004272,統計學系
004282,會計學系
004292,醫學系
004302,醫學檢驗生物技術學系
004312,護理學系
004322,職能治療學系
004332,物理治療學系
004342,藥學系
004352,政治學系
004362,經濟學系
004372,法律學系
004382,心理學系
004392,電機工程學系
004402,資訊工程學系
004412,建築學系
004422,都市計劃學系
004432,工業設計學系
004442,生命科學系
004452,生物科技與產業科學系
004462,大一全校不分系學士學位學程
004472,護理學系(公費生)
004482,醫學系(公費生)
004492,醫學系(繁星第八類)
007012,醫學系
007022,運動醫學系
007032,呼吸治療學系
007042,牙醫學系
007052,口腔衛生學系
007062,藥學系
007072,香粧品學系
007082,護理學系
007092,醫學檢驗生物技術學系
007102,醫學影像暨放射科學系
007112,公共衛生學系
007122,職能治療學系
007132,物理治療學系
007142,醫務管理暨醫療資訊學系
007152,醫藥暨應用化學系醫藥化學組
007162,醫藥暨應用化學系應用化學組
007172,生物醫學暨環境生物學系
007182,生物科技學系
007192,心理學系
007202,醫學社會學與社會工作學系
007212,護理學系(公費生)
007222,不分系招生(薪火A組)
007232,不分系招生(薪火B組)
007242,不分系招生(薪火C組)
007252,不分系招生(薪火D組)
007262,醫學系(公費生)
007272,醫學系(繁星第八類)
011012,中國文學系
011022,外國語文學系
011032,人文社會學院學士班
011042,經濟學系
011052,科技管理學院學士班
011062,計量財務金融學系
011072,數學系數學組
011082,數學系應用數學組
011092,物理學系物理組
011102,物理學系光電物理組
011112,化學系
011122,理學院學士班
011132,生醫工程與環境科學系
011142,工程與系統科學系甲組
011152,工程與系統科學系乙組
011162,原子科學院學士班
011172,化學工程學系
011182,動力機械工程學系
011192,材料科學工程學系
011202,工業工程與工程管理學系
011212,工學院學士班
011222,電機工程學系甲組
011232,電機工程學系乙組
011242,資訊工程學系甲組(電子資訊組)
011252,資訊工程學系乙組(資訊工程組)
011262,電機資訊學院學士班
011272,生命科學系
011282,醫學科學系
011292,生命科學院學士班
011302,清華學院學士班丙組(不分系招生-創新設計)
011312,清華學院學士班丁組(原不分系招生己組)
011322,旭日招生甲組(人文科管)
011332,旭日招生乙組(理工、電資、生科、原科)
011342,清華學院學士班甲組(不分系招生-音樂)
011352,清華學院學士班乙組(不分系招生-美術)
014012,中國文學學系
014022,歷史學系
014032,資訊與圖書館學系
014042,大眾傳播學系
014052,資訊傳播學系
014062,教育科技學系
014072,英文學系
014082,法國語文學系
014092,德國語文學系
014102,西班牙語文學系
014112,日本語文學系
014122,俄國語文學系
014132,商管學院全球財務管理全英語學士學位學程
014142,財務金融學系
014152,產業經濟學系
014162,國際企業學系經貿管理組
014172,國際企業學系國際商學全英語組
014182,保險學系
014192,經濟學系
014202,會計學系
014212,企業管理學系
014222,統計學系
014232,資訊管理學系
014242,運輸管理學系
014252,公共行政學系
014262,管理科學學系
014272,外交與國際關係學系全英語學士班
014282,理學院尖端材料科學學士學位學程
014292,數學學系數學組
014302,數學學系資料科學與數理統計組
014312,化學學系化學與生物化學組
014322,化學學系材料化學組
014332,物理學系光電物理組
014342,物理學系應用物理組
014352,建築學系
014362,土木工程學系工程設施組
014372,土木工程學系營建企業組
014382,資訊工程學系
014392,機械與機電工程學系光機電整合組
014402,機械與機電工程學系精密機械組
014412,電機工程學系電機資訊組
014422,電機工程學系電機通訊組
014432,電機工程學系電機與系統組
014442,化學工程與材料工程學系
014452,航空太空工程學系
014462,水資源及環境工程學系水資源工程組
014472,水資源及環境工程學系環境工程組
014482,資訊創新與科技學系軟體工程全英語組(蘭陽校園)
014492,資訊創新與科技學系應用資訊全英語組(蘭陽校園)
014502,國際觀光管理學系全英語學士班(蘭陽校園)
014512,英美語言文化學系全英語學士班(蘭陽校園)
014522,全球政治經濟學系全英語學士班(蘭陽校園)
017012,哲學系
017022,中國文學系中國文學組
017032,中國文學系文藝創作組
017042,史學系
017052,日本語文學系
017062,韓國語文學系
017072,俄國語文學系
017082,英國語文學系
017092,法國語文學系
017102,德國語文學系
017112,應用數學系
017122,光電物理學系
017132,化學系
017142,地理學系
017152,大氣科學系
017162,地質學系
017172,生命科學系
017182,法律學系法學組
017192,法律學系財經法律組
017202,政治學系
017212,經濟學系
017222,勞工關係學系勞資關係組
017232,勞工關係學系人力資源組
017242,社會福利學系
017252,行政管理學系
017262,園藝暨生物技術學系
017272,動物科學系
017282,森林暨自然保育學系
017292,土地資源學系
017302,生活應用科學系
017312,保健營養學系
017322,化學工程與材料工程學系
017332,電機工程學系
017342,機械工程學系
017352,紡織工程學系
017362,資訊工程學系
017372,國際貿易學系
017382,國際企業管理學系
017392,會計學系
017402,觀光事業學系
017412,資訊管理學系
017422,財務金融學系金融行銷組
017432,財務金融學系財務金融組
017442,全球商務學士學位學程
017452,新聞學系
017462,廣告學系
017472,資訊傳播學系
017482,大眾傳播學系
017492,市政暨環境規劃學系
017502,建築及都市設計學系
017512,景觀學系
017522,教育學系
017532,心理輔導學系
017542,戲劇學系
017552,中國戲劇學系
017562,音樂學系
017572,中國音樂學系傳統器樂組
017582,中國音樂學系音樂劇場組
017592,美術學系
017602,體育學系
017612,技擊運動暨國術學系
017622,運動與健康促進學系
020012,中國文學系
020022,歷史學系
020032,哲學系
020042,景觀設計學系
020052,影像傳播學系
020062,新聞傳播學系
020072,廣告傳播學系
020082,圖書資訊學系
020092,教育領導與科技發展學士學位學程
020102,護理學系
020112,護理學系(公費生)
020122,公共衛生學系
020132,醫學系
020142,臨床心理學系
020152,職能治療學系
020162,呼吸治療學系
020172,數學系純數學組
020182,數學系應用數學組
020192,化學系
020202,資訊工程學系
020212,生命科學系
020222,物理學系物理組
020232,物理學系光電物理組
020242,電機工程學系電腦與通訊工程組
020252,電機工程學系系統與晶片設計組
020262,醫學資訊與創新應用學士學位學程
020272,英國語文學系
020282,法國語文學系
020292,西班牙語文學系
020302,日本語文學系
020312,義大利語文學系
020322,德語語文學系
020332,織品服裝學系織品設計組
020342,織品服裝學系服飾設計組
020352,織品服裝學系織品服飾行銷組
020362,餐旅管理學系
020372,兒童與家庭學系
020382,食品科學系
020392,營養科學系
020402,法律學系
020412,財經法律學系
020422,企業管理學系
020432,會計學系
020442,資訊管理學系
020452,統計資訊學系
020462,金融與國際企業學系
020472,社會學系
020482,社會工作學系
020492,經濟學系
020502,宗教學系
020512,心理學系
020522,音樂學系應用音樂組
020532,音樂學系器樂組
020542,應用美術學系
020552,體育學系體育學組
020562,體育學系運動健康管理組
020572,醫學系(繁星第八類)
023012,輔導與諮商學系學校輔導與諮商組
023022,輔導與諮商學系社區輔導與諮商組
