校系代碼,系名
017012,哲學系
017022,中國文學系中國文學組
017032,中國文學系文藝創作組
017042,史學系
017052,日本語文學系
017062,韓國語文學系
017072,俄國語文學系
017082,英國語文學系
017092,法國語文學系
017102,德國語文學系
017112,應用數學系
017122,光電物理學系
017132,化學系
017142,地理學系
017152,大氣科學系
017162,地質學系
017172,生命科學系
017182,法律學系法學組
017192,法律學系財經法律組
017202,政治學系
017212,經濟學系
017222,勞工關係學系勞資關係組
017232,勞工關係學系人力資源組
017242,社會福利學系
017252,行政管理學系
017262,園藝暨生物技術學系
017272,動物科學系
017282,森林暨自然保育學系
017292,土地資源學系
017302,生活應用科學系
017312,保健營養學系
017322,化學工程與材料工程學系
017332,電機工程學系
017342,機械工程學系
017352,紡織工程學系
017362,資訊工程學系
017372,國際貿易學系
017382,國際企業管理學系
017392,會計學系
017402,觀光事業學系
017412,資訊管理學系
017422,財務金融學系金融行銷組
017432,財務金融學系財務金融組
017442,全球商務學士學位學程
017452,新聞學系
017462,資訊傳播學系
017472,大眾傳播學系
017482,市政暨環境規劃學系
017492,建築及都市設計學系
017502,景觀學系
017512,教育學系
017522,心理輔導學系
017532,戲劇學系
017542,中國戲劇學系
017552,中國音樂學系傳統器樂組
017562,中國音樂學系音樂劇場組
017572,音樂學系
017582,廣告學系
017592,美術學系
017602,體育學系
017612,運動與健康促進學系
017622,國術學系
